microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (EV CL1-0 vs. CE CL1-0)	FDR step up (EV CL1-0 vs. CE CL1-0)	Ratio (EV CL1-0 vs. CE CL1-0)	Log2(Ratio) (EV CL1-0 vs. CE CL1-0)	Fold change (EV CL1-0 vs. CE CL1-0)	LSMean(EV CL1-0) (EV CL1-0 vs. CE CL1-0)	LSMean(CE CL1-0) (EV CL1-0 vs. CE CL1-0)	FC 95% lower limit (EV CL1-0 vs. CE CL1-0)	FC 95% upper limit (EV CL1-0 vs. CE CL1-0)
hsa-miR-660-5p	X	50013256	50013278	22	+	12492.199857568688E0	2651.3511319197305E0	1392.2046455296286E0	1561.524982196086E0	0.012209186243073171E0	0.022464902687254634E0	0.34075197114443573E0	-1.55320609228952E0	-2.93468588498972E0	891.8603330147207E0	2617.329931156387E0	-6.693662772073021E0	-1.2866470177568643E0
hsa-miR-671-5p	7	151238449	151238472	23	+	2077.8544951835042E0	623.014142421033E0	180.4791940039501E0	259.73181189793803E0	0.038460976533691786E0	0.05832543694120292E0	4.064036405311272E0	2.022913325714112E0	4.064036405311272E0	473.78531971070277E0	116.57998904225536E0	1.1270922317026704E0	14.653984331650005E0
hsa-miR-744-5p	17	12081909	12081931	22	+	11416.394704023101E0	3551.180611799888E0	904.653123658514E0	1427.0493380028877E0	3.8551471052625973E-4	0.0016269555230522816E0	5.412092361064751E0	2.4361864601040084E0	5.412092361064751E0	1853.234691410858E0	342.42480860355863E0	2.779380525240389E0	10.53858709115121E0
hsa-miR-7704	2	176188843	176188862	19	+	368850.4618248911E0	217111.3155473781E0	286.0584172661323E0	46106.30772811139E0	1.8045277184259333E-7	2.490248251427788E-5	62918.63484865557E0	15.941199748357075E0	62918.63484865557E0	176410.81097703168E0	2.8037927248769847E0	13015.177431724183E0	304164.475051188E0
hsa-miR-7977	3	176515103	176515121	18	+	5028.42007991806E0	2146.580803434529E0	258.8664009530523E0	628.5525099897575E0	4.442766451123923E-5	3.912409883861238E-4	22.113766649235778E0	4.466872875959556E0	22.113766649235778E0	1686.1037721908021E0	76.24679223823978E0	9.158418075356273E0	53.39553964376421E0
hsa-miR-9-5p	1	156420392	156420415	23	-	33946.739972220515E0	8642.774830715898E0	2596.7165982215365E0	4243.342496527564E0	2.8405966237937575E-5	3.563657582577623E-4	0.05168533835043837E0	-4.274101102444947E0	-19.347846641145544E0	431.87873227874843E0	8355.923483882056E0	-43.6793545607803E0	-8.57016257253504E0
hsa-miR-93-3p	7	100093777	100093799	22	-	3430.8142521072145E0	1246.028284842066E0	224.61873766827864E0	428.8517815134018E0	0.008014564913257511E0	0.016029129826515023E0	5.024874174204058E0	2.329087470814036E0	5.024874174204058E0	418.0750133040174E0	83.2010909519463E0	1.8836228859971684E0	13.404679171338584E0
hsa-miR-95-3p	4	8005312	8005334	22	-	4096.844948982065E0	1593.347857268508E0	245.6681826272653E0	512.1056186227581E0	0.015579786931431486E0	0.027564238417148015E0	0.2439578502759467E0	-2.035296186651278E0	-4.0990687484287776E0	362.3647068973323E0	1485.3578459302798E0	-15.142519890896958E0	-1.1096148280080078E0
hsa-miR-98-5p	X	53556299	53556321	22	-	4767.631485726446E0	1101.113324657472E0	424.1276458128132E0	595.9539357158058E0	0.006026231320102595E0	0.012600301851123609E0	6.027010371704327E0	2.5914425474858276E0	6.027010371704327E0	627.1125199560262E0	104.05034687014529E0	2.068231974571737E0	17.56323974642797E0
hsa-miR-99a-5p	21	16539101	16539123	22	+	17070.83929346821E0	6361.844172912639E0	379.0209015853184E0	2133.854911683526E0	0.021582589194058314E0	0.03677033714543269E0	0.3734328879007968E0	-1.4210791048647398E0	-2.6778573403680825E0	2270.8142742071186E0	6080.91667380967E0	-6.215059046579134E0	-1.1537975555212474E0
hsa-miR-99b-3p	19	51692656	51692678	22	+	4551.002060327387E0	1260.6671838634602E0	434.5809414715828E0	568.8752575409234E0	0.001320144128716481E0	0.003960432386149443E0	5.671575575236313E0	2.5037495744652754E0	5.671575575236313E0	905.6640519894524E0	159.6847365797978E0	2.451136236223005E0	13.12320752729085E0
