microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)	FC 95% lower limit (EV CL1-5 vs. EV CL1-0)	FC 95% upper limit (EV CL1-5 vs. EV CL1-0)	P-value (CE CL1-5 vs. CE CL1-0)	FDR step up (CE CL1-5 vs. CE CL1-0)	Ratio (CE CL1-5 vs. CE CL1-0)	Log2(Ratio) (CE CL1-5 vs. CE CL1-0)	Fold change (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-5) (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-0) (CE CL1-5 vs. CE CL1-0)	FC 95% lower limit (CE CL1-5 vs. CE CL1-0)	FC 95% upper limit (CE CL1-5 vs. CE CL1-0)	P-value (EV CL1-0 vs. CE CL1-0)	FDR step up (EV CL1-0 vs. CE CL1-0)	Ratio (EV CL1-0 vs. CE CL1-0)	Log2(Ratio) (EV CL1-0 vs. CE CL1-0)	Fold change (EV CL1-0 vs. CE CL1-0)	LSMean(EV CL1-0) (EV CL1-0 vs. CE CL1-0)	LSMean(CE CL1-0) (EV CL1-0 vs. CE CL1-0)	FC 95% lower limit (EV CL1-0 vs. CE CL1-0)	FC 95% upper limit (EV CL1-0 vs. CE CL1-0)	P-value (EV CL1-5 vs. CE CL1-5)	FDR step up (EV CL1-5 vs. CE CL1-5)	Ratio (EV CL1-5 vs. CE CL1-5)	Log2(Ratio) (EV CL1-5 vs. CE CL1-5)	Fold change (EV CL1-5 vs. CE CL1-5)	LSMean(EV CL1-5) (EV CL1-5 vs. CE CL1-5)	LSMean(CE CL1-5) (EV CL1-5 vs. CE CL1-5)	FC 95% lower limit (EV CL1-5 vs. CE CL1-5)	FC 95% upper limit (EV CL1-5 vs. CE CL1-5)
hsa-miR-130b-3p	22	21653354	21653376	22	+	12495.280724717672E0	2514.067433989242E0	1413.4105357668875E0	1561.910090589709E0	0.7201692932376997E0	0.8045301562653242E0	0.8834104870383513E0	-0.17884413605647717E0	-1.1319766005410656E0	886.3089089717371E0	1003.2809458280908E0	-2.1932053971664103E0	1.7116083911627031E0	0.5984601198512137E0	0.7308628012342256E0	1.156184708784032E0	0.20937189711166984E0	1.156184708784032E0	2336.864433032288E0	2021.18607452672E0	-1.6757708637433917E0	2.240108622576092E0	0.038207929341304056E0	0.05832543694120292E0	0.4963822770160769E0	-1.0104764889224558E0	-2.0145763583892258E0	1003.2809458280908E0	2021.18607452672E0	-3.903242999997696E0	-1.0397809984628654E0	0.00941890877156517E0	0.024996334816846027E0	0.3792727111545713E0	-1.3986925220906028E0	-2.6366252318966694E0	886.3089089717371E0	2336.864433032288E0	-5.108463095559483E0	-1.360838374171087E0
hsa-miR-132-5p	17	2049965	2049987	22	-	3224.917832882323E0	1432.932527568376E0	291.8789961211143E0	403.1147291102904E0	0.02427516668845275E0	0.06203653709271258E0	4.432589518034573E0	2.1481497672594285E0	4.432589518034573E0	926.5774610947647E0	209.03750665200891E0	1.3433566657683755E0	14.625936905707578E0	0.26562382161478715E0	0.4716531147083457E0	0.5481607976568129E0	-0.8673289390119432E0	-1.8242822257166775E0	168.8372161681243E0	308.0067325262638E0	-6.019469346975929E0	1.8087317149695863E0	0.3567696193378301E0	0.40689427660016986E0	0.6786783683303648E0	-0.5592000643763365E0	-1.473452001218379E0	209.03750665200891E0	308.0067325262638E0	-4.86185691585631E0	2.239392335807771E0	0.01735613559096978E0	0.03926470018940704E0	5.487993002121596E0	2.456278641895035E0	5.487993002121596E0	926.5774610947647E0	168.8372161681243E0	1.6632110758496683E0	18.108385417015985E0
hsa-miR-140-3p	16	69933142	69933163	21	+	5633.561494185535E0	2429.755155442029E0	416.4367915678274E0	704.1951867731918E0	0.31818063287863385E0	0.44352451855809566E0	1.7149244704527278E0	0.7781450379124758E0	1.7149244704527278E0	1505.8007739971974E0	878.056614039988E0	-2.717024232350535E0	7.990675723752069E0	0.42722535089783364E0	0.6124343360353952E0	0.5715463207246485E0	-0.8070576691130543E0	-1.749639467072636E0	157.4473178079827E0	275.4760412475989E0	-8.152429949970326E0	2.6631151334662544E0	0.29093743806996897E0	0.34611522804875616E0	3.1874155367250223E0	1.6723871125244534E0	3.1874155367250223E0	878.056614039988E0	275.4760412475989E0	-1.4618399418541028E0	14.851735099502672E0	0.016329396689796265E0	0.03755761238653141E0	9.563838840744411E0	3.2575898195499833E0	9.563838840744411E0	1505.8007739971974E0	157.4473178079827E0	2.052549975305159E0	44.562624283061716E0
hsa-miR-141-3p	12	6964155	6964177	22	+	14855.191436781926E0	12879.484820607177E0	320.45354338241737E0	1856.8989295977408E0	0.043148832686870815E0	0.09451649064743131E0	0.06268727540874072E0	-3.9956835628200187E0	-15.952200721433272E0	424.64386976236545E0	6774.0042487436995E0	-114.97604755103926E0	-2.213267139348591E0	0.2547929039732179E0	0.4716531147083457E0	0.35317950839436213E0	-1.5015264551723568E0	-2.8314213487250077E0	59.75526547904957E0	169.1923344058486E0	-20.407568918728124E0	2.545553723922449E0	0.009991673832631066E0	0.019150708179209542E0	40.037299965810874E0	5.323272779918453E0	40.037299965810874E0	6774.0042487436995E0	169.1923344058486E0	5.554922603469471E0	288.5702471446017E0	0.06053904931912526E0	0.09714405588417774E0	7.1063841189128745E0	2.8291156722707904E0	7.1063841189128745E0	424.64386976236545E0	59.75526547904957E0	-1.0142338266036575E0	51.21951338502623E0
hsa-miR-142-3p	17	58331245	58331268	23	-	14072.36187174821E0	7973.014412756823E0	259.1383612668898E0	1759.0452339685262E0	0.005243770217677814E0	0.020675436858272524E0	0.17474760445227483E0	-2.516655416502742E0	-5.722539105096054E0	1037.3660747162319E0	5936.367930612396E0	-17.32908386051331E0	-1.8897394734163129E0	0.41817883686068447E0	0.6124343360353952E0	1.4610343619892927E0	0.5469901092082015E0	1.4610343619892927E0	37.07266860602749E0	25.374261939450207E0	-2.0726520681239613E0	4.424327473700863E0	3.47821790515733E-6	8.790616019067002E-5	233.95233876395844E0	7.8700708408123345E0	233.95233876395844E0	5936.367930612396E0	25.374261939450207E0	77.25748332005442E0	708.4581902102711E0	1.6378837357986913E-4	0.00125571086411233E0	27.981963887108375E0	4.806425315101391E0	27.981963887108375E0	1037.3660747162319E0	37.07266860602749E0	9.240412469019008E0	84.73542773167593E0
hsa-miR-142-5p	17	58331283	58331304	21	-	3850.002870000115E0	1839.9264029438823E0	45.33713487886719E0	481.25035875001436E0	0.03213422987429334E0	0.07269711020741772E0	0.2070168586456442E0	-2.2721798349207307E0	-4.830524463284047E0	328.8435634688287E0	1588.486878352164E0	-26.36524065444684E0	1.1299082199470614E0	0.3451094342884916E0	0.5602953168448452E0	0.5597448158543036E0	-0.8371588334457948E0	-1.7865283816407704E0	2.752885356963759E0	4.918107822100978E0	-9.750959978771276E0	3.0551147990759997E0	5.1657537749923045E-5	3.912409883861238E-4	322.987403745799E0	8.335334091821409E0	322.987403745799E0	1588.486878352164E0	4.918107822100978E0	59.176344171299505E0	1762.881172187168E0	2.495362762885727E-4	0.0014433651538047884E0	119.45414376641897E0	6.900313090346473E0	119.45414376641897E0	328.8435634688287E0	2.752885356963759E0	21.885867505139334E0	651.9866054940484E0
hsa-miR-143-3p	5	149428978	149428999	21	+	10134.953670009443E0	8586.323213738116E0	73.464247569624E0	1266.8692087511804E0	0.11167176281459099E0	0.19263379085516946E0	0.10528869637183823E0	-3.2475775356713634E0	-9.497695711497782E0	481.34971639806577E0	4571.713138902484E0	-90.6260649436448E0	1.0046542366770728E0	0.5914563141663512E0	0.7308628012342256E0	0.5570722087833018E0	-0.8440637502635511E0	-1.7950994220014929E0	5.156875490652624E0	9.2571042135188E0	-17.12865959704995E0	5.315527440027207E0	4.258573232083203E-4	0.0017284797236102412E0	493.859961891506E0	8.94795820137026E0	493.859961891506E0	4571.713138902484E0	9.2571042135188E0	51.75698233233661E0	4712.362486541216E0	0.0019180554936055107E0	0.005882036847056899E0	93.34134921462086E0	6.544444415962448E0	93.34134921462086E0	481.34971639806577E0	5.156875490652624E0	9.782260023012167E0	890.6538420272947E0
hsa-miR-146a-5p	5	160485372	160485394	22	+	21153.712139249386E0	13799.448022079117E0	362.72600992429744E0	2644.2140174061733E0	1.3573660358623274E-4	0.0015823631465016125E0	0.054395476292690696E0	-4.2003695125908305E0	-18.383881678307382E0	538.9547607794054E0	9908.08055700056E0	-47.780723616395896E0	-7.073293997708162E0	0.14200043044199584E0	0.32660099001659043E0	1.874871692030012E0	0.906791867285374E0	1.874871692030012E0	84.66369241990367E0	45.157059424822705E0	-1.3862576462014584E0	4.87289505560713E0	1.2239151527738548E-6	8.445014554139599E-5	219.4137677293909E0	7.777510244283995E0	219.4137677293909E0	9908.08055700056E0	45.157059424822705E0	84.42058719982612E0	570.2684980768088E0	0.0019921904048244387E0	0.005976571214473317E0	6.3658310334246435E0	2.6703488644077895E0	6.3658310334246435E0	538.9547607794054E0	84.66369241990367E0	2.449286566736247E0	16.545146368932862E0
hsa-miR-148a-3p	7	25949922	25949944	22	-	51966.636081678334E0	11099.894286721079E0	4698.469220974892E0	6495.829510209792E0	0.4770210493045682E0	0.5930531964327065E0	0.9958942292587758E0	-0.005935568484425661E0	-1.0041226975923738E0	2623.354544652948E0	2634.1698421199617E0	-3.4107627111769525E0	3.3828125881196502E0	0.8103309198496748E0	0.8668656351880242E0	0.878563394424198E0	-0.1867817044742712E0	-1.1382217906488017E0	9693.004600582712E0	11032.789053483542E0	-3.8662649991903493E0	2.9842680304828333E0	0.008486161367402455E0	0.016729860981450555E0	0.23875828949393219E0	-2.0663772716691207E0	-4.188336254710076E0	2634.1698421199617E0	11032.789053483542E0	-14.226768455377417E0	-1.233039016382407E0	0.03843141404165113E0	0.07071380183663808E0	0.2706441040040607E0	-1.8855311356792752E0	-3.6948892852474486E0	2623.354544652948E0	9693.004600582712E0	-12.550648069470519E0	-1.0877690741281663E0
hsa-miR-148b-3p	12	54337278	54337300	22	+	46141.13728271918E0	10533.233016828412E0	5010.545715264852E0	5767.642160339898E0	0.2095895339252066E0	0.3324523641572243E0	1.378373506041531E0	0.4629668766480488E0	1.378373506041531E0	3764.739572919053E0	2731.2913054508463E0	-1.385096875139625E0	2.631564282575488E0	0.17787480254244958E0	0.3667997007352256E0	0.6617864456449417E0	-0.5955623514404149E0	-1.5110614709333514E0	6600.61012211449E0	9973.927640875201E0	-2.884889602313913E0	1.2634699995454934E0	0.0012939196162648629E0	0.003960432386149443E0	0.27384310418042895E0	-1.868578543496474E0	-3.651726060412764E0	2731.2913054508463E0	9973.927640875201E0	-6.9718054128376306E0	-1.912718790995364E0	0.08029138014781531E0	0.12176055450987378E0	0.5703623609979253E0	-0.8100493154080101E0	-1.7532713733956187E0	3764.739572919053E0	6600.61012211449E0	-3.347312106382698E0	1.0889248891891734E0
hsa-miR-151a-3p	8	140732587	140732608	21	-	16667.025051915774E0	4460.822342901474E0	1644.1701624532886E0	2083.378131489472E0	4.0700080997723765E-4	0.0030818287383981196E0	6.857444511401275E0	2.7776710432200944E0	6.857444511401275E0	3725.6451132612165E0	543.2993450921203E0	3.0853269312152967E0	15.241349223378643E0	0.6212145696715516E0	0.7428893430086118E0	1.196360441307646E0	0.258652112399704E0	1.196360441307646E0	2213.9756096937717E0	1850.592457910779E0	-1.8578004672358952E0	2.6590295047504786E0	0.004950242905679379E0	0.011464152644235427E0	0.293581303048173E0	-1.7681680029276001E0	-3.4062114637999024E0	543.2993450921203E0	1850.592457910779E0	-7.570642148417693E0	-1.5325353264183557E0	0.1851222001126105E0	0.24100814731641743E0	1.6827850752380626E0	0.7508509278927908E0	1.6827850752380626E0	3725.6451132612165E0	2213.9756096937717E0	-1.3207860109702105E0	3.740156403300131E0
hsa-miR-155-5p	21	25573983	25574007	24	+	5580.8731666279145E0	1874.8383760020688E0	221.74991613045452E0	697.6091458284893E0	0.16280295781343715E0	0.2674620021220753E0	2.2841576801474193E0	1.191662246372686E0	2.2841576801474193E0	1622.7347446641706E0	710.4302643121757E0	-1.9894671558596055E0	10.37979880408128E0	1.7447047442938312E-4	0.0013376069706252706E0	53.572638996881594E0	5.743424460086956E0	53.572638996881594E0	448.8924381543311E0	8.37913618327957E0	11.789087353251743E0	243.4478228120491E0	1.1279263060697605E-4	6.380718786360214E-4	84.7856208850184E0	6.405747708297757E0	84.7856208850184E0	710.4302643121757E0	8.37913618327957E0	18.65775346574489E0	385.28762436786076E0	0.08486488780102018E0	0.1259285431886106E0	3.614974560462761E0	1.853985494583487E0	3.614974560462761E0	1622.7347446641706E0	448.8924381543311E0	-1.2570646369572347E0	16.42737230691268E0
hsa-miR-15b-5p	3	160404607	160404629	22	+	33650.747594982124E0	8986.53799987865E0	3133.0479378370014E0	4206.3434493727655E0	0.0469118090446038E0	0.10115358825242694E0	2.052799473450001E0	1.0375927054841292E0	2.052799473450001E0	2202.2329522861555E0	1072.794971209507E0	1.0574846838330487E0	3.984914148280833E0	0.16752368311550186E0	0.3556656656913732E0	1.5510439076425475E0	0.6332395274065943E0	1.5510439076425475E0	8238.659221801798E0	5311.686652193599E0	-1.2515504176740049E0	3.0109014017730455E0	5.207822267615276E-4	0.0019423769538673193E0	0.20196879856538033E0	-2.307795661473921E0	-4.951259833712805E0	1072.794971209507E0	5311.686652193599E0	-9.611433371042965E0	-2.5506054086371472E0	0.0014340477292412801E0	0.005178444615452273E0	0.26730477538737146E0	-1.9034424833963857E0	-3.7410480173832465E0	2202.2329522861555E0	8238.659221801798E0	-7.262158514106595E0	-1.9271736139029823E0
hsa-miR-16-5p	3	160404754	160404776	22	+	495679.9945303301E0	90291.42605396935E0	54162.76956742509E0	61959.999316291265E0	0.01327598984261449E0	0.03898056592086808E0	2.1662631296426866E0	1.1152084935345454E0	2.1662631296426866E0	51403.67124334756E0	23729.19085093605E0	1.2745648352786743E0	3.681802460698913E0	0.84448549116945E0	0.8964538290875701E0	1.0476318550841304E0	0.06713183314134413E0	1.0476318550841304E0	88362.3176484508E0	84344.81752243062E0	-1.6223351589305721E0	1.7805655689627777E0	5.567830134816913E-4	0.002022001470012458E0	0.28133549343096886E0	-1.8296365196019484E0	-3.5544750781520906E0	23729.19085093605E0	84344.81752243062E0	-6.041221359563988E0	-2.0913474824428824E0	0.03319142435702418E0	0.06300255887070577E0	0.5817374715380322E0	-0.7815598592087469E0	-1.718988459443983E0	51403.67124334756E0	88362.3176484508E0	-2.921609962007626E0	-1.0114017141668978E0
hsa-miR-17-5p	13	91350618	91350641	23	+	12706.67459440427E0	3100.2829540260764E0	1294.6533741491492E0	1588.3343243005338E0	0.015304904791713054E0	0.043103609413395944E0	2.760122235598954E0	1.4647321600423784E0	2.760122235598954E0	1307.7053960580815E0	473.78531971070333E0	1.2855890112372552E0	5.9259022042479295E0	0.2665865430960215E0	0.4716531147083457E0	1.4902496417550435E0	0.5755540264955976E0	1.4902496417550435E0	2735.9476801380797E0	1835.8989012952716E0	-1.4406787093037463E0	3.1995226599228976E0	0.002977711822686423E0	0.007337932705905828E0	0.25806721681940775E0	-1.9541812124095062E0	-3.8749594478704656E0	473.78531971070333E0	1835.8989012952716E0	-8.319425291149825E0	-1.8048495175037895E0	0.048226554200453485E0	0.08116176194710464E0	0.47797163875411014E0	-1.0650030788627256E0	-2.0921743445000605E0	1307.7053960580815E0	2735.9476801380797E0	-4.491837499020572E0	1.0261912139722085E0
hsa-miR-181a-2-3p	9	124692518	124692540	22	+	5659.754643844868E0	1890.4581861125132E0	280.4117076261838E0	707.4693304806085E0	0.0022875273071475276E0	0.010522625612878627E0	0.1886335313124014E0	-2.4063419440160594E0	-5.3012844166283E0	189.25242765669174E0	1003.2809458280908E0	-12.880190803600703E0	-2.1819254772320287E0	3.9633793808252974E-6	4.9722395868535546E-5	0.013807568708372221E0	-6.178396883297761E0	-72.42404663129794E0	22.29983258062083E0	1615.0441158570306E0	-175.96406192695665E0	-29.808601103046485E0	0.241522954700265E0	0.29495723671359797E0	0.6212096227330344E0	-0.6868479171877366E0	-1.6097625719325845E0	1003.2809458280908E0	1615.0441158570306E0	-3.9111368954193697E0	1.5093131854493562E0	6.234426824332417E-4	0.0027184379802708343E0	8.486719660523885E0	3.0852070220939654E0	8.486719660523885E0	189.25242765669174E0	22.29983258062083E0	3.4930006372305464E0	20.61963855048929E0
hsa-miR-182-5p	7	129770447	129770471	24	-	34686.189930110304E0	7973.014412756823E0	3548.911450991173E0	4335.773741263788E0	0.6054958335410331E0	0.72346368352689E0	0.5453293403313548E0	-0.8748003160819156E0	-1.833754258284318E0	2508.1444558902685E0	4599.320576851949E0	-6.581790952654889E0	1.9573199092490774E0	0.16144263783259427E0	0.35363625429996837E0	0.42454757428008905E0	-1.2360018654147547E0	-2.3554486247995015E0	3050.450498816682E0	7185.179433496252E0	-8.454279180599483E0	1.5238047141510846E0	0.1724559893749339E0	0.21833877553890715E0	0.640112139128647E0	-0.6436034266608424E0	-1.5622262707925687E0	4599.320576851949E0	7185.179433496252E0	-5.607210829177573E0	2.2975184744455928E0	0.6353145096788371E0	0.6849484557474962E0	0.8222209988151349E0	-0.28240187732800315E0	-1.21621802586051E0	2508.1444558902685E0	3050.450498816682E0	-4.3653029095370535E0	2.9511515551421588E0
hsa-miR-183-5p	7	129774967	129774989	22	-	18597.881458571745E0	5826.433609322294E0	1882.46283440832E0	2324.735182321468E0	0.9787947330316764E0	0.9787947330316764E0	0.6310466189213229E0	-0.664181505840833E0	-1.584668976928117E0	2014.1546170946542E0	3191.768336694573E0	-7.41651448849593E0	2.953403177753167E0	0.3775092320714958E0	0.5763285961592858E0	0.534632978889649E0	-0.9033792617712445E0	-1.8704420405880071E0	1425.9189760111528E0	2667.0987994854922E0	-8.753979976817655E0	2.5021712999324306E0	0.5748959307647838E0	0.6246900665003163E0	1.1967191981090082E0	0.259084673567801E0	1.1967191981090082E0	3191.768336694573E0	2667.0987994854922E0	-3.910830877904951E0	5.600844971826124E0	0.7159071890053901E0	0.7541617716239987E0	1.412530901728755E0	0.49828242949821255E0	1.412530901728755E0	2014.1546170946542E0	1425.9189760111528E0	-3.3133196494451504E0	6.610879654139113E0
hsa-miR-185-5p	22	20033153	20033175	22	+	10928.98757083744E0	2678.960812410442E0	1258.89574255686E0	1366.12344635468E0	0.9464391413606543E0	0.9576267626056207E0	1.19116034195732E0	0.2523676272882469E0	1.19116034195732E0	1775.8652006194957E0	1490.8699845135257E0	-1.9761220064681786E0	2.8038463199163233E0	0.14117176347171467E0	0.32660099001659043E0	0.5457706703189855E0	-0.8736332285316301E0	-1.8322714179850155E0	775.9703346877227E0	1421.788265597976E0	-4.312943683100916E0	1.284677663947095E0	0.9016575158921633E0	0.9285726656202875E0	1.0485879090263488E0	0.06844781575014601E0	1.0485879090263488E0	1490.8699845135257E0	1421.788265597976E0	-2.2448076548581226E0	2.468248183112887E0	0.10473618910529552E0	0.1521430957529556E0	2.288573571676387E0	1.1944486715700229E0	2.288573571676387E0	1775.8652006194957E0	775.9703346877227E0	-1.0285350639830197E0	5.387023359305655E0
hsa-miR-186-5p	1	71067681	71067703	22	-	27476.251613599263E0	8223.786679957635E0	2855.8737921981715E0	3434.531451699908E0	8.123150602900561E-4	0.0044839791328011094E0	3.7004516665067166E0	1.8877013727038863E0	3.7004516665067166E0	7425.185297568681E0	2006.5618916561816E0	2.0574118843618114E0	6.655615552838063E0	0.6244577086159345E0	0.7428893430086118E0	1.137013971507733E0	0.1852499820235455E0	1.137013971507733E0	2291.240356926527E0	2015.138260648242E0	-1.5818587116384735E0	2.0450281626580207E0	0.915210654008798E0	0.9355486685423269E0	0.995744029500062E0	-0.006153170698579683E0	-1.0042741612039339E0	2006.5618916561816E0	2015.138260648242E0	-1.8062829430041338E0	1.79094068688175E0	0.0017700604574393231E0	0.0058159129315863475E0	3.240683708126763E0	1.6962982199817611E0	3.240683708126763E0	7425.185297568681E0	2291.240356926527E0	1.801785775208315E0	5.828678992042784E0
hsa-miR-191-5p	3	49020672	49020695	23	-	214587.17345654065E0	54402.63770364624E0	23567.206679985975E0	26823.39668206758E0	0.005792805220200792E0	0.02103702948388709E0	2.2030692420730316E0	1.1395148393989971E0	2.2030692420730316E0	50283.992828522394E0	22824.51765996212E0	1.3364763137101032E0	3.6315750870995402E0	0.07199243253543627E0	0.1986991137978041E0	0.6396786349057343E0	-0.6445807964453558E0	-1.5632849769124526E0	13336.432174384921E0	20848.64406540087E0	-2.5769443228439592E0	1.0544566416294685E0	0.7511454768483684E0	0.7973698138851911E0	1.094772282936677E0	0.13063081462735243E0	1.094772282936677E0	22824.51765996212E0	20848.64406540087E0	-1.5057160766283781E0	1.8046403956958017E0	2.8282489928282224E-4	0.0015611934440411786E0	3.7704231656373666E0	1.9147264504717056E0	3.7704231656373666E0	50283.992828522394E0	13336.432174384921E0	2.2873004430839226E0	6.215226727629896E0
hsa-miR-192-5p	11	64891203	64891224	21	-	9741.127520142816E0	3882.1058847058603E0	578.2778287873692E0	1217.640940017852E0	0.14855004399230956E0	0.24739863200119608E0	0.5984008470040586E0	-0.740815877603507E0	-1.6711206292681227E0	225.09950463850709E0	376.1684258720643E0	-5.832235625081937E0	2.0884277752616516E0	0.0065664858192259245E0	0.03020583476843925E0	0.13910262272508056E0	-2.8457784733048657E0	-7.18893706250513E0	521.3492051197071E0	3747.9466244411296E0	-25.089496298526782E0	-2.059858654543595E0	0.0027302062701551415E0	0.006977193801507583E0	0.10036653765692172E0	-3.316649741964781E0	-9.96348009351736E0	376.1684258720643E0	3747.9466244411296E0	-34.77269236790883E0	-2.85485330050348E0	0.05664859176786804E0	0.09306554361864035E0	0.43176339862021745E0	-1.211687146263423E0	-2.3160833067269975E0	225.09950463850709E0	521.3492051197071E0	-8.083164874858051E0	1.5068606245032847E0
hsa-miR-193a-5p	17	31560016	31560038	22	+	2839.733529506572E0	1121.4254563578593E0	200.878672312516E0	354.9666911883215E0	0.14879772794274837E0	0.24739863200119608E0	1.998381864444903E0	0.9988322894873896E0	1.998381864444903E0	835.4735246619914E0	418.0750133040175E0	-1.4842493582514145E0	5.92739445267191E0	0.09771485304214196E0	0.2593201869195306E0	2.391415216026741E0	1.25786464368214E0	2.391415216026741E0	117.27727598183083E0	49.0409508054463E0	-1.240310331708806E0	7.093169497637281E0	0.002549207172519592E0	0.006687016384448808E0	8.525018505682967E0	3.091702965870308E0	8.525018505682967E0	418.0750133040175E0	49.0409508054463E0	2.8741536457278536E0	25.286031813317532E0	0.003721380531095584E0	0.010069617907670404E0	7.123916525093954E0	2.832670611675557E0	7.123916525093954E0	835.4735246619914E0	117.27727598183083E0	2.401781373120826E0	21.130227432217513E0
hsa-miR-196a-5p	12	53991762	53991784	22	+	20818.891553071822E0	4315.43509109437E0	1812.8123706897275E0	2602.361444133978E0	0.007327569624151651E0	0.02537516931552074E0	4.995310962532584E0	2.320574489857483E0	4.995310962532584E0	2576.041437738775E0	515.6919071426546E0	1.3055476388786666E0	19.11315287876468E0	0.7251061148267673E0	0.8135336898056413E0	0.8073955189492883E0	-0.3086525150141704E0	-1.2385503468007344E0	3268.951463149553E0	4048.7609685049256E0	-4.738964661861138E0	3.089271939836045E0	0.002436969910707945E0	0.006594153876033263E0	0.12737030200934246E0	-2.9728991606086934E0	-7.851123725267223E0	515.6919071426546E0	4048.7609685049256E0	-30.040117453478764E0	-2.0519275214190515E0	0.6827525767931079E0	0.724768119980376E0	0.7880329417190102E0	-0.34367215573704013E0	-1.2689824841822046E0	2576.041437738775E0	3268.951463149553E0	-4.855404679021693E0	3.01518648219287E0
hsa-miR-199a-3p	1	172144554	172144576	22	-	28945.663635724566E0	11383.224921667414E0	920.3178408506359E0	3618.2079544655708E0	2.6242594465411095E-4	0.0024143186908178204E0	0.08282632910343246E0	-3.5937667405412284E0	-12.07345551619477E0	303.56331867373166E0	3665.058225897519E0	-30.283668790852758E0	-4.813430271881839E0	1.7288474561283749E-6	2.953141580200894E-5	0.007135106376306627E0	-7.130849345861397E0	-140.1520800475625E0	74.4176795768496E0	10429.792593714183E0	-351.54137660227724E0	-55.87565745889818E0	0.02122666817941851E0	0.03661600260949693E0	0.3514027909580546E0	-1.5088024451308435E0	-2.8457372158986796E0	3665.058225897519E0	10429.792593714183E0	-7.137920307610534E0	-1.1345349839947572E0	0.010365058793107866E0	0.026988266291488407E0	4.079182800750681E0	2.028280160189325E0	4.079182800750681E0	303.56331867373166E0	74.4176795768496E0	1.6262835400632223E0	10.231753511625223E0
hsa-miR-199b-3p	9	128244745	128244767	22	-	28361.20507255452E0	11137.989162007982E0	747.0117665304028E0	3545.150634069315E0	2.3279160997349338E-5	8.031310544085522E-4	0.03509547008455906E0	-4.832571361760336E0	-28.49370581418625E0	128.12510587977934E0	3650.759076415031E0	-71.43986906118572E0	-11.364680278599547E0	1.8348705884270666E-6	2.953141580200894E-5	0.00743669511111734E0	-7.071122658770917E0	-134.46833372327848E0	76.78339328129684E0	10324.934960701154E0	-337.1411292273562E0	-53.632533104916135E0	0.029738187757634465E0	0.04944421578980188E0	0.3535866415576974E0	-1.4998643238981444E0	-2.828161142045923E0	3650.759076415031E0	10324.934960701154E0	-7.090810264879697E0	-1.1280086684866617E0	0.39082147475628465E0	0.4609689189433101E0	1.6686564684542273E0	0.7386869731124366E0	1.6686564684542273E0	128.12510587977934E0	76.78339328129684E0	-1.5025356236471115E0	4.18368184159183E0
hsa-miR-19a-3p	13	91350939	91350962	23	+	35178.191427317885E0	11441.669952096685E0	2118.410596816546E0	4397.273928414736E0	0.724774668555084E0	0.8045301562653242E0	1.4235477891156039E0	0.5094909257902723E0	1.4235477891156039E0	753.7623279507461E0	529.4956261173902E0	-1.871000257804401E0	3.7915601465108777E0	0.43089391769978597E0	0.6124343360353952E0	1.4472683102951345E0	0.5333324091181016E0	1.4472683102951345E0	9642.964836996405E0	6662.872922594404E0	-1.8403348304427627E0	3.8547387650626646E0	3.3054953637910196E-4	0.0014714785813005184E0	0.0794695670314021E0	-3.6534537054611795E0	-12.58343334882967E0	529.4956261173902E0	6662.872922594404E0	-33.515449749206816E0	-4.724471729584534E0	1.9981574479165613E-4	0.001319624503712483E0	0.07816707216262955E0	-3.677295188789009E0	-12.79311060697607E0	753.7623279507461E0	9642.964836996405E0	-34.07391637863516E0	-4.8031954173880385E0
hsa-miR-19b-3p	13	91351245	91351268	23	+	105046.51199220424E0	37567.150647487855E0	5456.392411431377E0	13130.81399902553E0	0.3498662942628418E0	0.48281548608272173E0	1.4620768103500856E0	0.5480191054082002E0	1.4620768103500856E0	1629.7792994553165E0	1114.7015586414564E0	-1.3835241303026764E0	2.9575160898096997E0	0.03922651959046985E0	0.135331492587121E0	0.4723775063444113E0	-1.0819878267187484E0	-2.116950927106377E0	15970.342908136707E0	33808.43222986863E0	-4.28220759944584E0	-1.046535256337525E0	3.8083091452856374E-6	8.790616019067002E-5	0.0329711106301748E0	-4.922653704839266E0	-30.329581894181356E0	1114.7015586414564E0	33808.43222986863E0	-61.351240792721484E0	-14.993723451881442E0	5.783017255940037E-5	8.533771561154705E-4	0.10205036356815538E0	-3.2926467727123163E0	-9.799083168695816E0	1629.7792994553165E0	15970.342908136707E0	-19.821767181891058E0	-4.844271959502291E0
